Qidentifier	Qtitle	Qpagename	Qsubtitle	Qetymology	Qdefinition	Qsubmitted	Qemailaddress	QDateSubmitted	Qposter	QPosterEmail	QDateEdited	QUpdateDescription
Identifier	Word	Page Name	Part of Speech	Etymology	Definition	Submitted By	E-mail Address	Date Submitted	Updated By	Your E-mail Address	Date Edited	Description Of Update
Identifier	Title	PageName	Text	Subtitle	Text	Name	Text	Date	Name	Text	Date	Text
Never	Always	Never	Sometimes	Sometimes	Always	Always	Never	Sometimes	Sometimes	Never	Sometimes	Sometimes
Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed	Unindexed
Uneditable	Required	Uneditable	Optional	Optional	Required	Uneditable	Uneditable	Uneditable	Re-enter	Re-enter	Uneditable	Re-enter
 93 	din	dbx_d_index.htm#din	n.	From Hindi /din/ and Russian /dien/, with initial /d-/ in Spanish /dia/, English 'day', Dutch 'dag', Indo-European *dye-, Latin 'dies'.	day -- time for a planet to make a complete rotation on its axis	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 94 	dinar	dbx_d_index.htm#dinar	n.	By extension from Latin 'denarius', which has inspired the term 'dinar' for a unit of currency in Algeria, Bahrain, Iran, Iraq, Jordan, Kuwait, Libya, Tunisia, Yemen and Yugoslavia and is the Romance root of Spanish 'dinero' and Italian 'denaro'.  With initial /d-/ in Russian /dyeng/.	money -- the most common medium of exchange; legal tender	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 95 	direct	dbx_d_index.htm#direct	n.	Latin 'directio', extant in Romance (Spanish, Italian, French), English, auxiliaries (Esperanto, Novial).	direction -- orientation, a line leading to a place or point	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 96 	dis	dbx_d_index.htm#dis	n.	Latin 'dis', "apart, asunder", extant in Spanish, English, et al.	separation -- the condition of being spaced apart	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 97 	dit	dbx_d_index.htm#dit	n.	From Italian 'dito', from Latin 'digitus', also extant in Spanish 'dedos', English 'digit', French 'doigt', Portuguese 'dedos', et al.	digit -- a finger or toe in human beings or corresponding part in other vertebrates; in compounds, used metaphorically for digit-like parts, such as tongues and horns	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 98 	doj	dbx_d_index.htm#doj	n.	From Russian /dozhd/.	precipitation -- the falling to earth of rain or snow or hail or sleet or fog	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 99 	don	dbx_d_index.htm#don	n.	From Latin 'donum', "gift" (extant in English 'donate', in Spanish, Esperanto and Novial), from Indo-European *do-, "to give", extant in Hindi /dena/ and Russian /dav/.	gift -- something acquired without compensation	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 100 	dun	dbx_d_index.htm#dun	n.	From Mandarin Chinese /dun/ (an Eastern word for east!).	east -- the direction of sunrise	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 101 	dur	dbx_d_index.htm#dur	n.	From Medieval Latin 'duratio', "duration", extant in Romance (Spanish, Italian), Germanic (English, German, Dutch) and auxiliaries (Esperanto, Novial).	long event -- an event that takes relatively more time than others [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 102 	duv	dbx_d_index.htm#duv	n.	From Indo-European *dwo-, extant in Romance (Latin, Italian, Spanish, etc.), English ('duo'), auxiliaries (Esperanto, Novial).	two -- the cardinal number that is the sum of one and one or a numeral representing such a number	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 2 	bacar	dbx_b_index.htm#bacar	n.	From Arabic /bakar/, with initial /bak-/ in Spanish /baca/ 'vaca', with intial /b-/ in Russian /bik/, Hindi /bail/, English 'bovine', Italian 'bovino' and Esperanto & Novial 'bovo'.	bovine, cow, bull -- any of various members of the genus Bos of either sex	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 103 	fab	dbx_f_index.htm#fab	n.	Since there were no common roots for "make", this term is borrowed from common terms for "factory" ("place that makes"): from Latin 'fabricare', "to make", extant in words for factory -- Russian /fabrik/, German 'Fabrik', Dutch 'fabriek', Spanish 'fabbrica', Italian 'fabbrica', Hindi /fektri/, Esperanto 'fabriko', Novial 'fabrike', English 'fabrication'.	creation -- something made, constructed or created (but not as a synonym of "caused")	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 104 	fac	dbx_f_index.htm#fac	n.	Alteration of English 'f-ck'.	obscenity -- something offensive to standards of decency [typically appended to a word to make it obscene: e.g., _duvpig_ is "buttocks", but _duvpigfac_ is "ass"]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 105 	fam	dbx_f_index.htm#fam	n.	From Latin 'familia', extant in Romance and Germanic languages (e.g., Spanish, Italian, French, English, Dutch, Esperanto, Novial, et al).	family -- a social unit living together	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 106 	fan	dbx_f_index.htm#fan	n.	From Arabic /fan/.	art -- the products of creativity; works of art collectively	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 107 	farc	dbx_f_index.htm#farc	n.	From Turkish /fark/, with initial /far-/ in Arabic /farik/ and Hindi /farak/.	difference, different object -- something dissimilar from something else [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 108 	farh	dbx_f_index.htm#farh	n.	From Latin 'fractio', extant in English and Spanish, with similarity to Mandarin Chinese /fenshu/.	fraction -- quotient of two rational numbers	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 109 	fas	dbx_f_index.htm#fas	n.	From Arabic /fasad/, "rotten", with initial /f-/ in Mandarin Chinese /fu/.	decay, rotten object -- something with has undergone decomposition of organic matter caused by bacterial or fungal action [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 110 	fer	dbx_f_index.htm#fer	n.	Latin 'ferrum', extant in Spanish, English, Italian, Esperanto and Novial.	iron, Fe -- a heavy ductile magnetic metallic element	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 111 	ferc	dbx_f_index.htm#ferc	n.	From Latin 'frequentia', "frequency", extant in Germanic (English, Dutch) and Romance (Spanish, Italian)	frequent event -- an event that occurs relatively often within a given time period [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 112 	fest	dbx_f_index.htm#fest	n.	Latin 'festivalis', extant in Romance (Spanish, Italian, et al), English, Esperanto, Novial, et al.	celebration, rejoicing, jubilee -- an occasion for special festivities to mark some happy event	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 113 	fib	dbx_f_index.htm#fib	n.	From New Latin 'Amphibia' (from Greek), extant in English, et al.	amphibian -- cold-blooded vertebrate of class Amphibia, typically living on land and breeding in water; aquatic larvae undergo metamorphosis	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 114 	fil	dbx_f_index.htm#fil	n.	From English 'file', widely borrowed.	file -- the basic unit of a computer's nonmemory storage system	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 115 	fin	dbx_f_index.htm#fin	n.	From Latin 'finis', "end", extant in English, Spanish, Italian, Esperanto, Novial, et al.	ending, conclusion, completion -- the last part of a process or object considered in its entirety	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 116 	foc	dbx_f_index.htm#foc	n.	From Latin 'focus', "hearth, fire", extant in Romance (Spanish 'fuego', Italian 'fuoco', Portuguese 'fogo', Catalan & Romanian 'foc' and French 'feu') and English (in 'focus', 'fuel' and 'foyer'), strengthened by /f-/ starting German, English, Esperanto and Novial forms.  Source: Raymond Brown.	fire -- process of combustion	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 117 	fon	dbx_f_index.htm#fon	n.	Backformation from Dublex 'telfon', "telephone", since "telephone" occurs in more languages than /son-/ or any other root for "sound".	sound -- the particular auditory effect produced by a given cause	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 118 	font	dbx_f_index.htm#font	n.	From Latin 'front-', extant in Spanish and English.	front -- the forward part or surface of something	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 119 	forl	dbx_f_index.htm#forl	n.	From Latin 'flora', extant in Romance (Spanish, Italian, French), English ('flora', 'flower') and auxiliaries (Esperanto, Novial).	flower, bloom, blossom -- reproductive organ of angiosperm plants esp. one having showy or colorful parts	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 120 	form	dbx_f_index.htm#form	n.	From Latin 'forma', extant in Russian, Germanic (English, German, Dutch, et al), Romance (Spanish, Italian, et al) and auxiliaries (Esperanto, Novial, et al).	form, shape -- the characteristic two-dimensional surface configuration of a thing; an outline or a contour	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 121 	fort	dbx_f_index.htm#fort	n.	From Latin 'fortis', "strength", extant in Spanish and English.	strong object -- something with great capacity to do work or cause physical change [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 122 	furt	dbx_f_index.htm#furt	n.	From Spanish 'fruto', from Latin 'fructus', extant in Arabic, Russian, Romance (Italian, et al), Germanic (English, German, Dutch, et al) and auxiliaries (Esperanto, Novial, et al).  Initial /ph-/ in Hindi /phal/.	fruit -- the ripened reproductive body of a seed plant	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 123 	galc	dbx_g_index.htm#galc	n.	Blend of Hindi /gal/ and Arabic /halk/, with /g-l/ in Russian /glot/ and /gorl/ and in English 'gullet' and Italian 'gola', and with initial /g-/ in Spanish 'garganta', Esperanto 'gorg^o' and Novial 'guture'.	throat, pharynx -- the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 124 	gan	dbx_g_index.htm#gan	n.	From Mandarin Chinese 'gan'.	agent -- person who does or brings about something	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 125 	gard	dbx_g_index.htm#gard	n.	Latin 'gradus', "degree", extant in Romance (Spanish, Italian), Germanic (English, German, Dutch), Esperanto and Novial.	scale -- a scale of intensity, amount or quantity	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 126 	garm	dbx_g_index.htm#garm	n.	From Greek 'gramma', "something written, a small weight", borrowed into many languages as a weight measure ('gram'), but use to refer to something written in 'telegram', 'aerogram', et al.	communication unit -- a collection of words, oral or written or otherwise represented, conveying a central idea	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 127 	gars	dbx_g_index.htm#gars	n.	Indo-European *ghre-so-, extant in Hindi /gas/, and English & German & Dutch /gras/.	grass -- narrow-leaved green herbage, grown in lawns, used as pasture for grazing animals, cut and dried as hay	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 128 	gas	dbx_g_index.htm#gas	n.	From Dutch 'gas', a scientific term that is widespread internationally (Arabic, Russian, Spanish, German, English, Italian, Esperanto, Novial, et al).	gas -- fluid in its freest state having neither definite shape or volume and being able to expand indefinitely	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 129 	ger	dbx_g_index.htm#ger	n.	From Hindi /ger/, "surround".  While English 'surround' and Spanish /sirkund/ were considered, they were too close in form to Dublex 'sur' and 'sirc' to be acceptable.	all sides, all around -- in close to all sides from all directions [prep. Around]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 130 	germ	dbx_g_index.htm#germ	n.	Latin as 'germanus', "germane" (from Indo-European *gen-men-), extant in Spanish 'hermano', "brother", and 'hermana', "sister", and in English 'german' and 'germane'.  (Mandarin Chinese, Russian and Hindi lack a common term for sibling, and the Arabic root doesn't easily fit Dublex phonotactics.)	sibling -- a person's brother or sister	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 131 	gid	dbx_g_index.htm#gid	n.	From Arabic /gida/.	food -- any substance that can be metabolised by an organism to give energy or build tissue	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 132 	gitar	dbx_g_index.htm#gitar	n.	Spanish 'guitarra' /gitar-/ has been adopted into every major language, including Mandarin Chinese (/jita/).  Present in Arabic, English, Hindi, Russian, Spanish, Italian, German, Dutch, Esperanto, Novial, et al.	guitar -- a stringed instrument usu. having four, five or six strings, played by strumming or picking	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 133 	gov	dbx_g_index.htm#gov	n.	From Romance 'govern-', from Latin 'gubernare', extant in English, Spanish, Italian, Novial, et al.	government -- an organization that is a governing authority of a political unit	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 134 	gulb	dbx_g_index.htm#gulb	n.	From Russian /glubok/, with initial /g-/ in Hindi /gakhr/.	deep object -- something with relatively great extent downward, backward or inward [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 135 	gurn	dbx_g_index.htm#gurn	n.	Blend of Mandarin Chinese /gu/ and Spanish /grano/, strengthed by /g-r-n/ in English, Dutch, Esperanto and Novial forms, with initial /g-/ in Hindi and Arabic.	grains, cereal -- grain suitable as food for human beings	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 136 	gurp	dbx_g_index.htm#gurp	n.	From Germanic /grup/, extant in Afrikaans 'groep', Albanian 'grup', Azerbaijani 'qrup', Bashkir 'gruppa', Belarus 'grupa', Bosnian 'grupa', Cambodian 'grom', Catalan 'grup', Chamorro 'gurupu', Croatian 'grupa', Danish 'gruppe', Dutch 'groep', English 'gro	group -- any number of objects or events aggregated together in an unstructured fashion	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 137 	habil	dbx_h_index.htm#habil	n.	From Latin 'habilitas', extant in Spanish 'habilidad', English 'ability'.	ability -- quality of being able to perform	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 138 	hacar	dbx_h_index.htm#hacar	n.	Blend of Arabic /shakl/ and Hindi /akar/.	form, shape -- the characteristic three-dimensional configuration or abstraction of a thing  [contrast with "form", the two-dimensional shape]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 139 	hafer	dbx_h_index.htm#hafer	n.	From Arabic /shafr/.	blade -- a broad, flat part of a tool that usu. has a cutting edge	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 140 	halt	dbx_h_index.htm#halt	n.	Blend of English 'height' (with cognates in German and Dutch) with Latin 'altus', "high", extant in Romance (Spanish, Italian) and auxiliaries (Esperanto, Novial).	high object -- something relatively distant from the ground [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 141 	hand	dbx_h_index.htm#hand	n.	From Germanic /hand/ (in English, German, Dutch, et al), with /ha-/ reinforced by Hindi.	hand -- the prehensile distal extremity of the superior limb	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 142 	har	dbx_h_index.htm#har	n.	From Hindi /shar/, with initial /sh-/ in Russian /shyetre/.	four -- the cardinal number that is the sum of three and one	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 143 	harl	dbx_h_index.htm#harl	n.	Truncation of 'harlinform', "tetragon, four-line-shape".  The Arabic, English, Hindi, Russian and Spanish forms are ultimately derived from words meaning "four".	square -- a plane rectangle with four equal sides and four right angles	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 144 	hasal	dbx_h_index.htm#hasal	n.	From Arabic /hasal/.	event, occurrence, happening -- something that takes place	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 145 	haz	dbx_h_index.htm#haz	n.	Truncation of 'hazil', "comedy".	fun -- activities that are enjoyable or amusing	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 146 	hazar	dbx_h_index.htm#hazar	n.	From Arabic /shazar/, with /sh-/ in Mandarin Chinese /shu/.	tree -- a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymno- and angiosperms	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 147 	hazil	dbx_h_index.htm#hazil	n.	From Arabic /hazli/, with initial /h-/ in Mandarin Chinese /hwaji/ and Hindi /hasya/.	comedy -- something funny or humorous	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 148 	herc	dbx_h_index.htm#herc	n.	Contraction of 'hircsacar', mispronounciation of Dublex 'sirchacar', "circle 3D-object".	sphere -- three-dimensional closed surface such that each point is equidistant from another	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 149 	hical	dbx_h_index.htm#hical	n.	From Arabic /haikal/.	frame -- a structure supporting or containing something	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 150 	hild	dbx_h_index.htm#hild	n.	From English 'shield', from Germanic *skelduz, extant in German, Dutch, Novial, et al., and borrowed into Spanish as 'escudo'.  Initial /sh-/ sound in Italian 'schermo' and Esperanto 's^ermilo'.	shield -- a protective structure or device, esp. one used by warriors	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 151 	him	dbx_h_index.htm#him	n.	From Hindi /shimta/, with initial /sh-/ in Mandarin Chinese and in Russian (in /shipsi/, "tongs").	tool, utensil, implement -- an apparatus for practical use (esp. in a household)	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 152 	hir	dbx_h_index.htm#hir	n.	From Hindi /shiryi/, with initial /shi-/ in Mandarin Chinese.	bird -- warm-blooded egg-laying vertebrates of the class Aves characterized by feathers and forelimbs modified as wings	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 153 	hisan	dbx_h_index.htm#hisan	n.	Arabic /hisan/, with initial /h-/ in English 'horse'.	horse, Equus caballus -- solid-hoofed herbivorous quadruped domesticated since prehistoric times	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 2463 	hisantigera	dbx_h_index.htm#hisantigera	n. modif.	horse+tiger+{noun-modifier}	disordered -- all jumbled up (c.f. posgurpmala)	LJM	Proofread	11/09/99 	NA	NA	11/09/99 	NA
 154 	hocolat	dbx_h_index.htm#hocolat	n.	Derived from Nahuatl 'xocolatl' and extant in every major language, including Arabic, Mandarin Chinese, English, Hindi, Russian, Norwegian 'sjokolade', Spanish, Swedish 'chokolad', Italian, French, German, Dutch, Esperanto and Novial.	chocolate -- food made from roasted ground cacao beans	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 155 	hor	dbx_h_index.htm#hor	n.	From Latin 'hora', extant in Hindi, Romance (Spanish, Italian, French), English ('hour'), auxiliaries (Esperanto, Novial).	hour -- a time period of 60 minutes	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 156 	horc	dbx_h_index.htm#horc	n.	Contraction of Russian /shirok/, with /sh-r/ in Hindi /shaur/.	wide object -- something with relatively great extent from side to side [scalar]	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
 157 	horz	dbx_h_index.htm#horz	n.	From Latin 'horizon', extant in Romance (Spanish, Italian), Germanic (English, German, Dutch) and auxilaries (Esperanto, Novial).	horizontal -- something, such as a line, a plane or an object, that is parallel to or in the plane of the horizon or base line	NA	NA	11/09/99 	NA	NA	11/09/99 	NA
